code_sachet,code_element,description,qty,Valisette 1,Valisette 2,Valisette 3,Valisette 4,Valisette 5,Valisette 6,Valisette 7,Valisette 8,Valisette 9
INTV000086-14,INTV000086,Ecrou HFR M10 Acier Cl8,14,6,2,0,6,0,0,0,0,0
INTV000028-1,INTV000028,Ecrou HFR M10 Inox A4,1,0,0,0,0,0,0,0,1,0
INTV000028-16,INTV000028,Ecrou HFR M10 Inox A4,16,0,3,4,8,0,0,0,1,0
INTV000028-2,INTV000028,Ecrou HFR M10 Inox A4,2,0,0,0,0,0,1,0,1,0
INTV000118-8,INTV000118,Ecrou HFR M12 Acier Cl8,8,8,0,0,0,0,0,0,0,0
INTV000013-1,INTV000013,Ecrou HFR M12 Inox A4,1,0,0,0,0,0,0,1,0,0
INTV000013-12,INTV000013,Ecrou HFR M12 Inox A4,12,0,0,0,0,8,4,0,0,0
INTV000013-6,INTV000013,Ecrou HFR M12 Inox A4,6,0,0,3,3,0,0,0,0,0
INTV000059-1,INTV000059,Ecrou HFR M14 Inox A4,1,0,0,1,0,0,0,0,0,0
INTV000144-2,INTV000144,Ecrou HFR M16 Inox A4,2,0,0,0,0,0,2,0,0,0
INTV000029-2,INTV000029,Ecrou HFR M6 Inox A4,2,0,0,0,0,0,0,0,0,2
INTV000029-2,INTV000029,Ecrou HFR M6 Inox A4,2,0,0,0,0,0,0,0,0,2
INTV000014-10,INTV000014,Ecrou HFR M8 Inox A4,10,10,0,0,0,0,0,0,0,0
INTV000014-4,INTV000014,Ecrou HFR M8 Inox A4,4,0,0,0,0,0,0,0,0,4
INTV000046-2,INTV000046,Embase KR8G5,2,0,0,0,0,2,0,0,0,0
INTV000021-1,INTV000021,Goujon M16x35 Inox A4,1,0,0,0,0,0,1,0,0,0
INTV000037-1,INTV000037,Insert de mise a Ia masse M6,1,0,0,0,0,0,0,0,1,0
INTV000160-1,INTV000160,Insert de mise à la masse M10,1,0,0,0,0,0,0,0,1,0
INTV000160-1,INTV000160,Insert de mise à la masse M10,1,0,0,0,0,0,0,0,1,0
INTV000160-3,INTV000160,Insert de mise à la masse M10,3,0,2,0,0,0,0,0,1,0
INTV000137-2,INTV000137,Joint torique Ø3.53 Øint. 17.04,2,0,0,0,0,0,0,0,2,0
INTV000137-8,INTV000137,Joint torique Ø3.53 Øint. 17.04,8,0,0,0,0,0,0,0,8,0
INTV000085-24,INTV000085,Rondelle CS 10-22-1.6 Acier,24,6,12,0,6,0,0,0,0,0
INTV000010-1,INTV000010,Rondelle CS 10-22-1.6 Inox A2,1,0,0,0,0,0,0,1,0,0
INTV000010-10,INTV000010,Rondelle CS 10-22-1.6 Inox A2,10,0,0,4,6,0,0,0,0,0
INTV000010-11,INTV000010,Rondelle CS 10-22-1.6 Inox A2,11,0,0,0,0,5,6,0,0,0
INTV000154-8,INTV000154,Rondelle CS 12-27-1.8 Acier,8,8,0,0,0,0,0,0,0,0
INTV000023-1,INTV000023,Rondelle CS 16-32-2.8 Inox A2,1,0,0,0,0,0,1,0,0,0
INTV000036-2,INTV000036,Rondelle CS 6-14-1.3 Inox A2,2,0,0,0,0,0,2,0,0,0
INTV000036-4,INTV000036,Rondelle CS 6-14-1.3 Inox A2,4,0,0,0,0,0,0,0,0,4
INTV000024-4,INTV000024,Rondelle CS 8-16-1.4 Inox A2,4,0,0,0,0,0,0,0,0,4
INTV000024-6,INTV000024,Rondelle CS 8-16-1.4 Inox A2,6,0,0,0,0,0,0,0,6,0
INTV000116-1,INTV000116,Rondelle CS 8-18-1.4 Acier,1,0,0,0,0,0,1,0,0,0
INTV000116-2,INTV000116,Rondelle CS 8-18-1.4 Acier,2,0,2,0,0,0,0,0,0,0
INTV000125-26,INTV000125,Rondelle plate L10 Acier,26,12,14,0,0,0,0,0,0,0
INTV000008-10,INTV000008,Rondelle plate L10 Inox A2 (ISO 7093-1),10,0,0,0,0,4,6,0,0,0
INTV000008-4,INTV000008,Rondelle plate L10 Inox A2 (ISO 7093-1),4,0,0,0,4,0,0,0,0,0
INTV000161-2,INTV000161,Rondelle plate L10 Inox A2 (NFE 25-514),2,0,0,0,0,0,0,1,1,0
INTV000161-5,INTV000161,Rondelle plate L10 Inox A2 (NFE 25-514),5,0,0,0,0,2,2,0,1,0
INTV000161-7,INTV000161,Rondelle plate L10 Inox A2 (NFE 25-514),7,0,4,0,2,0,0,0,1,0
INTV000152-16,INTV000152,Rondelle plate L12 Acier,16,16,0,0,0,0,0,0,0,0
INTV000007-12,INTV000007,Rondelle plate L12 Inox A2,12,0,0,6,6,0,0,0,0,0
INTV000007-16,INTV000007,Rondelle plate L12 Inox A2,16,0,0,0,0,16,0,0,0,0
INTV000057-2,INTV000057,Rondelle plate L14 Inox A2,2,0,0,2,0,0,0,0,0,0
INTV000056-4,INTV000056,Rondelle plate L16 Inox A2,4,0,0,0,0,0,4,0,0,0
INTV000068-1,INTV000068,Rondelle plate L18 Acier,1,0,0,0,1,0,0,0,0,0
INTV000027-2,INTV000027,Rondelle plate L6 Inox A2,2,0,0,0,0,0,2,0,0,0
INTV000115-1,INTV000115,Rondelle plate L8 Acier,1,0,0,0,0,0,1,0,0,0
INTV000115-2,INTV000115,Rondelle plate L8 Acier,2,0,2,0,0,0,0,0,0,0
INTV000009-21,INTV000009,Rondelle plate L8 Inox A2,21,20,0,0,0,0,0,0,1,0
INTV000009-3,INTV000009,Rondelle plate L8 Inox A2,3,0,0,0,0,2,0,0,1,0
INTV000009-4,INTV000009,Rondelle plate L8 inox A2,4,0,0,0,0,0,0,0,0,4
INTV000009-7,INTV000009,Rondelle plate L8 Inox A2,7,0,0,0,0,0,0,0,7,0
INTV000153-12,INTV000153,Rondelle plate M10 Acier,12,0,0,0,12,0,0,0,0,0
INTV000040-20,INTV000040,Rondelle plate M10 Inox A2,20,0,0,8,12,0,0,0,0,0
INTV000042-2,INTV000042,Rondelle plate M12 Inox A2,2,0,0,0,0,0,0,2,0,0
INTV000042-8,INTV000042,Rondelle plate M12 Inox A2,8,0,0,0,0,0,8,0,0,0
INTV000043-2,INTV000043,Rondelle plate M6 Inox A2,2,0,0,0,0,0,0,0,0,2
INTV000043-3,INTV000043,Rondelle plate M6 Inox A2,3,0,0,0,0,0,0,0,0,3
C611130-1,C611130,Rondelle plate M8 Inox A2,1,0,1,0,0,0,0,0,0,0
INTV000052-1,INTV000052,Rondelle TREP 3L D10 Inox,1,0,0,0,0,0,0,0,1,0
INTV000052-3,INTV000052,Rondelle TREP 3L D10 Inox,3,0,0,0,0,1,1,0,1,0
INTV000052-8,INTV000052,Rondelle TREP 3L D10 Inox,8,0,3,0,4,0,0,0,1,0
INTV000011-1,INTV000011,Rondelle TREP 3L D12 Inox,1,0,0,0,0,0,0,1,0,0
INTV000011-12,INTV000011,Rondelle TREP 3L D12 Inox,12,0,0,0,0,8,4,0,0,0
INTV000011-6,INTV000011,Rondelle TREP 3L D12 Inox,6,0,0,3,3,0,0,0,0,0
INTV000058-1,INTV000058,Rondelle TREP 3L D14 Inox,1,0,0,1,0,0,0,0,0,0
INTV000143-2,INTV000143,Rondelle TREP 3L D16 Inox,2,0,0,0,0,0,2,0,0,0
INTV000070-1,INTV000070,Rondelle TREP 3L D18 Acier,1,0,0,0,1,0,0,0,0,0
INTV000026-2,INTV000026,Rondelle TREP 3L D6 Inox,2,0,0,0,0,0,0,0,0,2
INTV000026-2,INTV000026,Rondelle TREP 3L D6 Inox,2,0,0,0,0,0,0,0,0,2
INTV000012-1,INTV000012,Rondelle TREP 3L D8 Inox,1,0,0,0,0,0,0,0,1,0
INTV000012-12,INTV000012,Rondelle TREP 3L D8 Inox,12,10,1,0,0,0,0,0,1,0
INTV000012-3,INTV000012,Rondelle TREP 3L D8 Inox,3,0,0,0,0,2,0,0,1,0
INTV000034-4,INTV000034,Vis CHC M8x16 Inox A2,4,0,0,0,0,0,0,4,0,0
INTV000047-2,INTV000047,Vis FHC M6x16 Inox A2,2,0,0,0,0,2,0,0,0,0
INTV000004-1,INTV000004,Vis H M10x20 Inox A2,1,0,0,0,0,0,0,1,0,0
INTV000004-2,INTV000004,Vis H M10x20 Inox A2,2,0,0,0,2,0,0,0,0,0
INTV000150-8,INTV000150,Vis H M10x25 Acier Cl8.8,8,0,8,0,0,0,0,0,0,0
INTV000109-2,INTV000109,Vis H M10x25 Inox A2,2,0,0,0,0,2,0,0,0,0
INTV000159-1,INTV000159,Vis H M10x30 Acier Cl8.8,1,0,1,0,0,0,0,0,0,0
INTV000084-9,INTV000084,Vis H M10x35 Acier Cl8.8,9,6,3,0,0,0,0,0,0,0
INTV000055-9,INTV000055,Vis H M10x35 Inox A2,9,0,1,4,4,0,0,0,0,0
INTV000003-1,INTV000003,Vis H M10x40 Inox A2,1,0,0,0,0,0,1,0,0,0
INTV000003-2,INTV000003,Vis H M10x40 Inox A2,2,0,0,0,2,0,0,0,0,0
INTV000149-6,INTV000149,Vis H M10x45 Acier Cl8.8,6,0,0,0,6,0,0,0,0,0
INTV000077-4,INTV000077,Vis H M10x45 Inox A2,4,0,0,0,0,4,0,0,0,0
INTV000148-2,INTV000148,Vis H M10x50 Inox A2,2,0,0,0,2,0,0,0,0,0
INTV000002-6,INTV000002,Vis H M10x60 Inox A2,6,0,0,0,0,0,6,0,0,0
INTV000156-8,INTV000156,Vis H M12x40 Acier Cl8.8,8,8,0,0,0,0,0,0,0,0
INTV000095-1,INTV000095,Vis H M12x45 Inox A2,1,0,0,0,0,0,0,1,0,0
INTV000001-4,INTV000001,Vis H M12x55 Inox A2,4,0,0,2,2,0,0,0,0,0
INTV000001-8,INTV000001,Vis H M12x55 Inox A2,8,0,0,0,0,8,0,0,0,0
INTV000048-2,INTV000048,Vis H M12x60 Inox A2,2,0,0,1,1,0,0,0,0,0
INTV000048-4,INTV000048,Vis H M12x60 Inox A2,4,0,0,0,0,0,4,0,0,0
INTV000155-1,INTV000155,Vis H M14x60 INOX A2,1,0,0,1,0,0,0,0,0,0
INTV000016-1,INTV000016,Vis H M16x35 Inox A2,1,0,0,0,0,0,1,0,0,0
INTV000140-2,INTV000140,Vis H M16x55 Inox A2,2,0,0,0,0,0,2,0,0,0
INTV000138-1,INTV000138,Vis H M18x120 Acier Cl8.8,1,0,0,0,1,0,0,0,0,0
INTV000141-2,INTV000141,Vis H M6x16 Inox A2,2,0,0,0,0,0,2,0,0,0
